DATE,GDP
1/1/17,19280.084
4/1/17,19438.643
7/1/17,19692.595
10/1/17,20037.088
1/1/18,20328.553
4/1/18,20580.912
7/1/18,20798.73
10/1/18,20917.867
1/1/19,21104.133
4/1/19,21384.775
7/1/19,21694.282
10/1/19,21902.39
1/1/20,21706.513
4/1/20,19913.143
7/1/20,21647.64
10/1/20,22024.502
1/1/21,22600.185
4/1/21,23292.362
7/1/21,23828.973
10/1/21,24654.603
1/1/22,25029.116
4/1/22,25544.273
7/1/22,25994.639
10/1/22,26408.405
1/1/23,26813.601
4/1/23,27063.012
7/1/23,27610.128
10/1/23,27944.627
